CCAA,D_1,ECIVIL,EDAD,ESTUDIO,MOVI_21_1,MOVI_22_1,MOVI_25_1,NACIO,SEXO,VISI_2_1
10,2,1,2,3,2,2,2,2,1,2
17,1,2,2,5,2,2,2,1,1,2
14,1,2,3,4,2,2,2,1,1,2
4,3,1,5,4,2,2,2,1,1,2
11,3,3,6,7,1,1,1,1,1,1
6,2,4,4,3,2,1,1,1,2,1
19,5,4,6,3,2,2,2,2,2,1
4,2,1,5,4,2,2,2,1,1,2
1,4,3,6,3,1,1,1,1,2,1
7,2,1,3,6,2,2,2,1,1,2
13,2,2,4,5,2,2,2,1,1,2
13,2,1,4,7,2,2,2,1,2,2
8,1,3,5,6,1,1,1,1,2,1
1,3,5,4,7,1,1,1,1,1,1
2,3,3,5,4,2,2,2,1,1,2
4,3,1,5,4,2,2,2,1,1,2
12,3,5,6,7,1,1,1,1,2,1
7,1,1,3,6,2,2,2,1,1,2
6,1,1,1,1,2,2,2,1,1,2
3,4,4,2,3,2,2,2,2,1,2
4,5,5,3,4,1,1,1,1,1,1
14,4,3,5,4,1,2,1,1,1,2
10,2,1,2,3,2,2,2,2,1,2
4,5,5,3,4,1,1,1,1,1,1
11,1,2,4,5,2,2,2,1,2,2
9,1,5,6,5,1,1,1,1,1,2
1,1,4,4,4,2,2,2,1,2,2
13,1,1,4,7,2,2,2,1,2,2
16,4,2,4,5,2,2,2,1,1,2
4,3,1,5,4,2,2,2,1,1,2
1,4,3,5,5,1,2,1,1,1,2
4,3,2,3,8,1,1,1,1,2,1
19,3,3,6,7,1,1,1,1,2,1
16,4,2,4,5,2,2,2,1,1,2
17,2,3,4,4,1,1,1,1,1,2
13,4,2,4,5,1,1,1,1,1,2
10,2,2,5,6,2,2,2,1,2,2
18,3,2,3,8,1,1,1,1,2,1
12,4,3,4,4,1,1,1,1,1,2
10,1,3,4,5,2,2,2,1,1,2
16,5,2,4,5,2,2,2,1,2,2
9,4,3,5,4,1,2,1,1,1,2
3,3,1,1,2,2,2,2,1,2,2
11,3,5,6,5,1,1,1,2,2,2
6,1,2,2,6,1,1,1,1,2,2
6,2,1,3,3,2,2,2,1,2,2
12,4,5,6,7,1,1,1,1,2,1
6,1,1,1,1,2,2,2,1,1,2
9,3,5,6,4,1,1,1,1,2,2
19,5,5,3,4,1,1,1,2,2,2
10,4,3,5,5,1,2,1,1,1,2
7,2,2,4,5,2,2,2,1,1,2
5,3,1,3,4,2,2,2,1,1,2
7,2,2,4,5,2,2,2,1,1,2
14,2,2,3,4,1,1,1,1,1,2
14,2,3,5,4,2,2,2,1,1,2
13,2,2,4,5,2,2,2,1,1,2
11,3,5,6,5,1,1,1,2,2,2
3,2,1,2,3,1,1,1,1,1,2
2,4,1,2,3,2,2,2,2,1,2
10,1,2,2,6,1,1,1,1,2,2
8,3,3,5,6,1,1,1,1,2,1
7,3,2,3,8,1,1,1,1,2,1
7,1,5,6,4,2,2,2,1,2,1
19,1,5,3,4,2,2,2,2,2,2
13,2,2,4,5,2,2,2,1,1,2
1,3,2,3,4,1,1,2,1,2,1
10,2,4,4,3,2,1,1,1,2,1
10,2,2,5,6,2,2,2,1,2,2
18,1,1,1,1,2,2,2,1,1,2
9,5,3,6,2,1,1,1,1,2,1
1,1,3,4,5,2,2,2,1,1,2
12,2,2,5,6,2,2,2,1,2,2
7,1,5,6,4,2,2,2,1,2,1
1,3,3,6,3,1,1,1,1,2,1
6,5,2,6,3,2,2,2,2,1,1
12,5,1,2,3,2,2,2,1,1,2
1,1,5,4,8,2,2,2,1,1,2
17,3,2,2,5,2,2,2,1,1,2
17,2,3,4,4,1,1,1,1,1,2
1,2,3,6,3,1,1,1,1,2,1
2,3,2,3,5,1,1,1,1,1,1
16,2,4,4,3,2,1,1,1,2,1
2,4,1,2,3,2,2,2,2,1,2
14,3,5,4,7,1,1,1,1,1,1
3,1,1,1,2,2,2,2,1,2,2
15,1,2,2,8,2,2,2,1,2,2
15,5,5,3,4,1,1,1,1,2,1
7,1,5,6,4,2,2,2,1,2,1
12,2,1,2,3,1,1,1,1,1,2
19,3,3,6,7,1,1,1,1,2,1
10,2,2,5,6,2,2,2,1,2,2
3,2,1,2,3,1,1,1,1,1,2
15,5,5,3,4,1,1,1,1,2,1
18,5,1,6,3,1,1,1,2,1,2
5,2,3,6,7,1,1,1,1,2,1
16,2,2,2,6,2,2,2,1,2,1
6,5,1,3,3,2,2,2,2,1,2
15,5,5,3,4,1,1,1,1,2,1
1,3,4,4,5,2,2,2,1,2,2
16,4,3,5,4,1,2,1,1,1,2
6,4,1,3,3,2,2,2,1,2,2
5,3,1,3,4,2,2,2,1,1,2
12,2,2,5,6,2,2,2,1,2,2
14,2,2,3,4,1,1,1,1,1,2
16,2,2,5,6,2,2,2,1,2,2
17,1,1,1,1,2,2,2,1,1,2
5,2,2,4,4,1,1,1,1,2,2
16,5,4,6,3,2,2,2,2,2,1
5,2,2,4,4,1,1,1,1,2,2
5,1,2,2,8,2,2,2,1,2,2
17,1,1,1,1,2,2,2,1,1,2
18,1,1,1,1,2,2,2,1,1,2
6,3,1,3,3,2,2,2,1,2,2
6,1,2,2,8,2,2,2,1,2,2
16,1,2,2,6,2,2,2,1,2,1
14,3,3,6,7,1,1,1,1,2,1
14,3,2,3,4,1,1,1,1,2,2
9,5,3,6,2,1,1,1,1,2,1
2,2,1,2,6,1,1,2,1,1,2
13,4,2,4,5,1,1,1,1,1,2
13,1,2,4,5,2,2,2,1,2,1
2,3,3,5,6,1,1,1,1,2,1
12,3,5,6,7,1,1,1,1,2,1
15,2,1,2,4,2,2,2,1,1,2
5,2,4,4,3,2,1,1,1,2,1
9,5,3,6,4,1,1,1,1,2,2
17,1,2,2,5,2,2,2,1,1,2
7,2,1,3,6,2,2,2,1,1,2
13,2,2,4,5,2,2,2,1,1,2
3,4,1,1,2,2,2,2,1,2,2
7,5,3,6,2,2,2,2,2,1,1
12,2,2,5,6,2,2,2,1,2,2
2,4,2,4,5,2,2,2,1,1,2
6,3,5,6,5,1,1,1,1,2,2
17,5,5,6,2,2,2,2,2,2,1
16,4,2,2,6,2,2,2,1,2,1
17,1,1,1,1,2,2,2,1,1,2
19,4,4,5,5,1,1,1,1,1,2
5,3,1,3,4,2,2,2,1,1,2
6,1,1,1,1,2,2,2,1,1,2
6,1,1,1,1,2,2,2,1,1,2
19,1,3,4,5,2,2,2,1,1,2
18,3,1,6,3,2,2,2,2,1,2
9,5,3,6,2,1,1,1,1,2,1
16,2,2,5,6,2,2,2,1,2,2
16,5,2,2,6,2,2,2,1,2,1
11,5,1,1,1,2,2,2,1,1,2
5,2,2,3,3,1,1,2,1,1,2
11,3,3,6,7,1,1,1,1,1,1
15,4,4,5,6,1,1,1,1,2,2
6,1,1,1,1,2,2,2,1,1,2
5,3,3,6,7,1,1,1,1,2,1
