Respondent ID,How easy is it to balance your work life and personal life where you work?,None,"Family commitments: including but not limited to parental leave, bereavement leave, adoption/infertility support, child care supports, elder care supports","Health and wellness: including but not limited to fitness, nutrition, mental health services, stress management, mindfulness services","Cultural/religious practices: including but not limited to extended or flexible holidays, dedicated prayer rooms","Flexible working arrangements: including but not limited to hybrid or remote work, short-term disability benefits, flex time/alternative schedules, job sharing, temporary or permanent switch to part time, and emergency leave",Not listed (please specify),"Family commitments: including but not limited to parental leave, bereavement leave, adoption/infertility support, child care supports, elder care supports","Health and wellness: including but not limited to fitness, nutrition, mental health services, stress management, mindfulness services","Cultural/religious practices: including but not limited to extended or flexible holidays, dedicated prayer rooms","Flexible working arrangements: including but not limited to hybrid or remote work, short-term disability benefits, flex time/alternative schedules, job sharing, temporary or permanent switch to part time, and emergency leave",[Insert text from Other],My employer states its values about diversity.,My employer is committed to creating an inclusive and equitable workplace.,I feel respected and valued in my workplace.,I believe the culture in my workplace is supportive.,Do you have any comments about work/life balance or work culture?,Have you ever taken voluntary or involuntary extended leave (more than regular vacation or paid time off) from your career?,Please note the length of your latest or most significant leave.,Please indicate the reason(s) for your leave.,Open-Ended Response,How would you characterize the impact your time off had on your career progression?,Open-Ended Response,"On a scale of 1 to 10, with 10 being completely satisfied, how satisfied are you with your current position?",Recognition from Colleagues/Peers,Recognition from Leadership,Leadership Opportunities,Promotions,Compensation,Access to Manager(s),"Project, Committee, or Team Assignments",Open-Ended Response,None,Skills training,Personal development,Professional  development,Certification program,Degree program,"Diversity, Equity & Inclusion training (e.g., implicit bias training)",Not listed (please specify),Skills training,Personal development,Professional  development,Certification program,Degree program,"Diversity, Equity & Inclusion training (e.g., implicit bias training)",Other,Open-Ended Response,"Do you currently or have you ever had a mentor, sponsor, coach, or other advisor who helped you navigate your career?",Was the relationship part of a formal mentoring program?,Did their support measurably impact your professional growth?,"Have you ever served in the workplace as a mentor, sponsor, coach, or other advisor?",Was the relationship part of a formal mentoring program?,Open-Ended Response,None,Networking at in-person conferences,Networking at virtual conferences,Participate in employee resource groups,Socialize with peers within my company,Socialize with peers outside of my company,"Use social media (e.g., LinkedIn)",Networking at in-person conferences,Networking at virtual conferences,Participate in employee resource groups,Socialize with peers within my company,Socialize with peers outside of my company,"Use social media (e.g., LinkedIn)",Have you advanced your career or experienced other benefits as a result of networking?,Open-Ended Response,I take initiative to identify new job opportunities.,I am likely to pursue job opportunities that are presented to me.,"I let my manager know what I want, with the expectation that it will generate growth opportunities.",I pursue job opportunities even if I do not fulfill all of the requirements on a job description.,I find that job opportunities I pursue don’t come to fruition.,I trust that I am compensated appropriately for my accomplishments.,I advocate for myself when appropriate so that my manager knows what I want and expect.,I believe I am being paid fairly for the work that I do.,I avoid discussions about salary and incentives.,"I lead the discussion, whether or not I am facilitating the meeting.",I contribute to discussions without hesitation.,I keep my thoughts to myself during meetings.,I volunteer to take meeting notes/minutes.,I have fair opportunities to be promoted.,I believe people of all genders have the same opportunities to be promoted in the industry.,I believe people of all ethnicities have the same opportunities to be promoted in the industry.,I believe people of all ages have the same opportunities to be promoted in the industry.,I believe people of all religious beliefs have the same opportunities to be promoted in the industry.,I believe people of all sexual orientations have the same opportunities to be promoted in the industry.,I believe people with disabilities and people without disabilities have the same opportunities to be promoted in the industry.,Open-Ended Response,Which of the following best describe your gender identity?,Not listed (please specify),Asian,Black,Indigenous,Latina/e/o/x,West Asian,Pacific Islander,White,Prefer not to answer,Not listed (please specify),Open-Ended Response,What country do you currently live in?,What country were you born in?,Is your first language the primary language of your workplace? ,"Yes, I have a disability","Yes, I have a neurodivergent condition",No,Prefer not to answer,"Yes, one or more children","Yes, one or more adults",No,Prefer not to answer,Asexual,Bisexual,Heterosexual,Gay or Lesbian,Pansexual,Queer,Prefer not to answer,Not listed (please specify),Which age group do you belong to?,What is the highest degree or education level that you have achieved?,None of the above,Agnostic,Ancestral or tribal beliefs,Atheist,Baháʼí,Buddhist,Christian,Daoist,Folk religionist or Spiritist,Hindu,Muslim,Jainist,Jewish,Pagan,Shintōist,"Spiritual, but not religious",Sikh,Zoroastrian,Prefer not to answer,Not listed (please specify),Full-Time Permanent Staff,Part-Time Permanent Staff,Temporary or contract Staff,Owner or founder,Independent consultant or freelancer,Retired,Unemployed,Not listed (please specify),Which of the following groups best describes your employment level?,Not listed (please specify),Which of the following groups best describes the organization that you work for?,Not listed (please specify),Approximately what is the size of your employer's workforce?,"In which of the following areas of publishing are you involved? Choose the function that most closely resembles your role, or self-describe in the comment box if your area is not listed.",Not listed (please specify),How long have you worked for your current employer?,How long have you worked in publishing and/or related industries?,"No, none of the above","Yes, a paid opportunity","Yes, an unpaid opportunity"
00001,Somewhat easy,,1,1,,1,,1,,,1,,Agree,Agree,Agree,Disagree,,No,,,,,,4,Very satisfied,Satisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,Very dissatisfied,,,1,1,1,1,,1,,1,1,1,1,,1,,,Yes,No,Yes,Yes,Yes,1,,1,,1,1,1,1,NO CHANGE since the pandemic,,MORE OFTEN than before the pandemic,LESS OFTEN than before the pandemic,LESS OFTEN than before the pandemic,MORE OFTEN than before the pandemic,Yes,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Often,Always,Never,Often,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I do not know,Strongly disagree,,1,Woman,,,,,,,,1,,,,United States,United States,Yes,,,1,,,,1,,,,1,,,,,,25-34 years old,Bachelor's Degree or equivalent,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,Intermediate,,Publishing Services Provider,,"501 to 2,000",Business development or strategy,,11 to 20 years,11 to 20 years,1,,
00002,Not so easy,,1,1,1,1,,,,,1,,Strongly agree,Agree,Agree,Agree,,No,,,,,,8,Very satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Dissatisfied,Satisfied,,,1,,1,,,1,,1,,1,,,1,,,Yes,No,Yes,Yes,No,1,,1,,,1,1,,NO CHANGE since the pandemic,,,NO CHANGE since the pandemic,NO CHANGE since the pandemic,,Yes,,Disagree,Strongly Agree,Disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Often,Often,Sometimes,Sometimes,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,Woman,,,,,,,,1,,,,United States,United States,Yes,1,,,,,,1,,,,1,,,,,,55-64 years old,Masters or equivalent,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,Senior or executive-level,,Non-profit organization or association,,"501 to 2,000",Senior Management,,11 to 20 years,21 years or more,,,1
00003,Very easy,,1,1,1,1,,1,1,,1,,Strongly agree,Agree,Strongly agree,Agree,,Yes,3 to 6 months,Parental,,Neutral,,9,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,,,1,1,1,,,1,,1,1,1,,,1,,,No,,,No,,,,,1,,1,,1,,MORE OFTEN than before the pandemic,,LESS OFTEN than before the pandemic,,NO CHANGE since the pandemic,No,,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Rarely,Often,Agree,Disagree,Disagree,Disagree,Agree,Agree,,,Woman,,,,,,,,1,,,,United States,United States,Yes,,,1,,1,,,,,,1,,,,,,45-54 years old,Bachelor's Degree or equivalent,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,Entry-level,,"Publisher (Commercial, Society, and University)",,101 to 500,Production,,21 years or more,21 years or more,1,,
00004,Very easy,,1,1,1,1,,1,1,1,1,,Disagree,Disagree,Disagree,Disagree,,No,,,,,,,Satisfied,Very dissatisfied,Dissatisfied,Very dissatisfied,Very dissatisfied,Satisfied,Dissatisfied,,,1,1,1,,1,1,,1,1,1,,,1,,,No,,,No,,,,,,,1,,,,,,LESS OFTEN than before the pandemic,,,Yes,,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Sometimes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,Woman,,,,,,,,1,,,,United States,United States,Yes,1,,,,1,,,,,,1,,,,,,45-54 years old,Masters or equivalent,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,Intermediate,,Non-profit organization or association,,11 to 100,Editorial or peer review,,6 to 10 years,11 to 20 years,1,,
00005,Somewhat easy,,1,,,,,,,,,,Strongly agree,Disagree,Agree,Agree,,Yes,More than 1 year,Involuntary (i.e. Unemployment),,Neutral,,6,Very satisfied,Dissatisfied,Very dissatisfied,Very dissatisfied,Dissatisfied,Satisfied,Satisfied,,,1,,,,,,,1,,,,,,,,Yes,No,Somewhat,Yes,Yes,1,,1,,1,1,,,LESS OFTEN than before the pandemic,,NO CHANGE since the pandemic,LESS OFTEN than before the pandemic,,,Yes,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Never,Sometimes,Sometimes,Rarely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,1,Man,,,,,,,,1,,,,United States,United States,Yes,,,1,,,,1,,,,1,,,,,,55-64 years old,Bachelor's Degree or equivalent,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,Intermediate,,"Publisher (Commercial, Society, and University)",,101 to 500,Research or data analytics,,1 to 5 years,11 to 20 years,1,,
00006,Very easy,,1,1,1,1,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,5,Satisfied,Satisfied,Not applicable,Not applicable,Satisfied,Very satisfied,Satisfied,,,1,,,,,1,,1,,,,,1,,,No,,,No,,,1,,,,,,,,,,,,,Not Applicable,,Disagree,Agree,Strongly disagree,Disagree,Not applicable,Agree,Disagree,Agree,Not applicable,Never,Sometimes,Often,Rarely,I do not know,Agree,Agree,Agree,Agree,Agree,,,Man,,,,,,,,1,,,,United Kingdom,United Kingdom,Yes,,,1,,,,1,,,,1,,,,,,25-34 years old,Bachelor's Degree or equivalent,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,Intermediate,,"Publisher (Commercial, Society, and University)",,101 to 500,Editorial or peer review,,1 to 5 years,6 to 10 years,1,,
00007,Extremely easy,,1,1,1,1,,,1,,1,,Agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,8,Very satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very satisfied,Very satisfied,,,1,1,1,,,,,1,1,1,,,,,,No,,,Yes,No,,,1,,,1,,1,MORE OFTEN than before the pandemic,,,LESS OFTEN than before the pandemic,,NO CHANGE since the pandemic,Yes,,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Often,Always,Rarely,Sometimes,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,,,Woman,,1,,,,,,,,,,United Kingdom,India,No,,,1,,,,1,,,,,,,,,,35-44 years old,Masters or equivalent,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Intermediate,,Publishing Services Provider,,,,,6 to 10 years,6 to 10 years,1,,
00008,Very easy,,1,,1,1,,1,,1,1,,Agree,Disagree,Agree,Agree,,No,,,,,,,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00009,Somewhat easy,,1,1,1,1,,,1,,1,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,,Very satisfied,Satisfied,Satisfied,Not applicable,Dissatisfied,Very satisfied,Satisfied,,,1,,1,,,1,,1,,1,,,1,,,Yes,No,Somewhat,No,,,,1,1,,1,,1,LESS OFTEN than before the pandemic,MORE OFTEN than before the pandemic,,MORE OFTEN than before the pandemic,,NO CHANGE since the pandemic,I do not know,,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Rarely,Sometimes,Often,Never,Agree,Agree,Agree,Agree,Agree,Agree,,,Woman,,1,,,,,,,,,,United States,China,No,,,1,,1,,,,,,1,,,,,,25-34 years old,Masters or equivalent,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Entry-level,,"Publisher (Commercial, Society, and University)",,101 to 500,Technology,,1 to 5 years,1 to 5 years,1,,
00010,Very easy,,1,1,,1,,,,,1,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes,1 to 3 months,Sabbatical,,Neutral,,9,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,,,,1,1,,,1,,,1,1,,,1,,,No,,,I do not know,,,,1,,1,1,,,LESS OFTEN than before the pandemic,,NO CHANGE since the pandemic,NO CHANGE since the pandemic,,,No,,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Often,Always,Sometimes,Rarely,Agree,Agree,Agree,Disagree,Agree,Agree,,,Woman,,,,,,,,1,,,,United Kingdom,France,No,,,1,,,,1,,,,1,,,,,,35-44 years old,Masters or equivalent,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,Intermediate,,"Publisher (Commercial, Society, and University)",,"2,001 to 10,000","Administration (e.g., Finance, HR, Legal, Operations)",,Less than 1 year,11 to 20 years,,1,1
