,SEX,RAC1P,EDU,MSP,PINCP_DECILE,HOUSING_TYPE,OWN_RENT
8192,1,1,11,4,5,1,0
15707,1,1,5,2,1,2,2
4817,1,6,4,1,3,1,0
8612,2,2,9,2,6,1,0
6582,2,1,7,3,5,3,2
15854,1,8,1,2,5,2,1
22414,2,1,9,4,1,3,1
17744,1,1,5,4,5,1,0
17024,1,1,3,6,4,1,0
11901,2,1,10,2,0,1,0
21620,1,1,5,2,2,1,0
1236,1,1,7,1,0,1,1
15765,1,1,4,1,0,1,0
22844,2,2,2,2,2,1,0
12921,2,1,3,1,1,1,1
2469,1,2,4,1,3,3,2
6292,2,1,10,3,2,1,1
2471,1,1,4,1,7,1,0
3909,1,1,4,1,7,2,1
20934,1,1,4,5,1,1,0
12080,1,7,7,3,0,1,1
10575,1,2,2,2,4,2,1
4905,2,1,9,1,3,1,0
22234,2,4,4,5,1,1,0
22613,1,1,2,5,4,1,0
22859,1,2,9,5,0,2,1
1136,1,1,10,1,2,1,0
20076,2,1,9,1,0,3,1
13733,1,5,3,1,3,1,0
18385,1,1,7,1,2,1,0
11100,2,5,8,1,3,3,0
9438,1,1,9,3,2,3,1
4169,1,1,8,6,1,1,1
16895,2,1,3,1,1,1,0
15742,2,1,9,2,2,2,0
19737,1,1,6,1,4,1,0
20111,2,1,6,2,4,1,0
21383,2,1,6,5,2,1,1
11738,1,1,12,2,5,1,0
10079,2,1,3,2,2,1,0
11219,2,1,9,5,5,1,0
6724,1,6,8,5,0,1,1
13345,2,1,2,1,2,1,0
10076,2,5,8,1,5,1,1
17995,2,1,8,2,2,1,0
3370,2,1,6,1,1,1,1
5173,2,1,3,5,6,1,0
1756,1,7,2,2,2,1,0
18478,1,1,4,1,2,1,0
22954,1,1,4,2,1,1,1
21757,2,1,7,2,3,1,0
22051,2,1,1,3,0,1,1
14689,2,1,3,1,1,1,1
9695,1,1,3,1,4,1,0
22361,2,1,8,2,4,1,0
22961,2,1,3,1,1,1,0
21829,2,1,5,1,1,1,1
1138,1,1,3,1,3,1,1
8695,1,1,2,1,4,1,0
21414,2,1,5,3,5,3,1
515,1,1,12,1,2,3,1
16132,1,2,9,1,3,1,1
18332,1,2,9,5,3,3,1
9526,1,1,2,5,3,1,1
12590,2,1,4,4,3,1,1
7260,1,2,9,1,2,3,0
8939,1,9,4,2,5,1,0
19208,1,4,2,1,4,2,0
13554,1,1,4,1,3,2,1
4500,2,1,10,6,4,2,2
11641,1,1,5,5,6,1,1
20056,1,1,3,2,2,2,0
2390,1,1,5,1,5,1,0
13696,1,1,10,1,5,1,0
9669,2,1,3,1,1,1,0
10378,2,1,5,1,2,1,1
8767,2,5,3,4,2,1,1
4597,2,1,7,4,6,2,2
15770,1,1,5,1,3,1,1
12253,2,1,8,2,3,1,0
8997,1,1,1,1,1,1,0
10414,1,1,2,2,5,2,1
11680,2,1,10,1,4,3,1
14187,1,1,10,1,1,3,0
12143,1,8,4,4,0,1,1
20004,1,5,8,1,2,1,1
6420,2,1,9,1,4,1,0
19887,2,2,5,1,1,1,1
20833,2,1,7,5,1,2,0
21680,1,1,4,1,3,1,0
10969,1,1,5,1,1,1,1
15726,2,1,3,1,1,1,0
21089,2,2,4,4,2,1,1
20802,1,2,11,1,2,2,1
18803,2,2,8,1,3,1,1
5755,2,1,8,1,1,1,1
5960,2,6,9,2,1,1,0
13307,1,1,8,1,3,1,0
7669,1,1,5,3,4,1,1
22228,2,1,10,3,4,2,1
19302,2,1,6,5,3,1,1
11508,1,1,10,1,4,1,0
6000,1,1,2,2,4,2,1
13719,1,1,8,2,5,1,1
13099,1,5,5,4,2,3,1
10103,1,7,5,1,3,1,1
11893,2,1,5,1,3,1,1
10060,1,2,5,1,0,1,0
6445,2,2,9,2,1,1,0
15619,1,1,9,1,4,1,0
10474,1,9,4,2,0,1,0
16769,1,1,3,1,0,1,0
3496,2,1,3,1,0,1,0
13994,1,1,5,4,3,3,0
988,1,1,4,1,3,1,0
12468,1,1,5,3,1,1,1
22241,2,1,4,4,1,3,0
2166,1,7,1,1,3,1,0
7711,1,1,4,1,3,1,0
13887,1,1,7,2,1,1,0
2978,2,1,2,1,0,1,0
15937,2,1,5,2,4,1,0
14715,2,5,1,2,2,1,0
6609,1,2,2,1,2,1,0
15111,2,1,5,1,3,1,0
13866,2,1,7,1,5,1,1
20430,1,1,7,6,6,1,0
14776,1,1,10,1,2,1,0
17002,1,1,1,1,0,1,0
2250,1,8,7,1,1,1,1
3001,2,1,4,2,1,1,0
18427,1,1,7,1,0,1,0
22799,2,1,3,2,3,1,0
21622,2,2,5,1,3,1,1
10115,1,1,7,1,3,1,1
21131,1,1,5,3,8,2,0
6650,1,1,9,4,0,1,1
1350,1,1,5,2,4,1,1
1332,1,1,12,1,3,3,1
4560,1,8,2,6,3,1,2
18136,1,1,3,2,4,1,0
9037,1,6,4,1,2,1,0
5137,1,1,6,2,3,1,1
16989,2,1,7,4,3,1,0
5341,2,5,4,1,4,1,0
22322,1,3,3,2,1,1,1
13870,1,2,4,2,4,1,0
11973,2,1,4,2,3,1,1
7434,1,2,6,1,5,2,2
22279,1,1,9,1,2,1,1
18849,2,1,5,3,1,3,1
22857,2,1,6,1,6,1,0
21037,1,1,5,4,2,1,0
14610,2,1,4,4,3,1,1
3884,2,1,4,2,1,1,1
6642,1,1,4,4,2,1,1
11514,1,1,8,1,2,1,1
17061,1,1,5,1,4,1,1
7718,1,1,5,1,9,1,0
7449,2,1,10,3,2,1,1
21667,1,1,4,1,4,1,0
22437,2,1,10,2,3,1,0
5309,1,1,5,1,2,1,0
15089,1,2,7,3,2,1,1
2004,1,1,2,3,4,1,0
15129,2,1,2,4,3,3,0
11425,2,1,8,4,4,3,0
1278,1,1,6,1,0,1,1
6355,2,1,5,2,0,1,0
20814,2,1,3,2,3,1,0
10372,1,5,7,1,2,2,0
10982,2,1,5,2,2,1,1
10486,1,1,5,2,1,1,1
17530,2,1,8,3,2,1,1
938,2,1,3,5,5,1,0
6896,1,4,1,1,5,1,0
11619,1,1,4,1,0,1,2
3061,1,1,4,2,1,1,1
2154,2,1,5,1,8,1,0
15219,2,1,4,1,2,1,0
21984,2,1,3,1,4,1,0
20203,1,1,1,1,2,1,0
8556,1,1,7,1,6,1,0
10508,2,1,5,2,3,1,1
9757,1,1,4,4,3,1,0
8473,2,4,7,5,8,1,1
22985,1,4,5,1,1,1,1
300,1,1,8,1,2,1,0
16184,1,2,1,2,2,1,0
12013,2,2,9,3,3,3,1
22066,2,1,3,1,3,1,1
15137,1,3,9,1,3,2,1
6314,2,1,4,1,3,1,0
18796,1,1,5,1,2,1,0
9844,2,6,7,2,1,1,0
10181,1,2,9,1,2,1,1
7605,1,1,8,4,3,1,1
11421,2,1,3,2,5,1,0
10186,2,1,7,2,4,2,0
10908,1,1,6,1,2,1,1
9732,1,1,4,4,5,1,0
17448,2,1,5,5,2,2,0
2364,1,1,1,1,2,1,0
9816,1,1,4,2,0,2,0
22898,2,1,5,2,1,3,1
1125,1,1,7,1,4,1,0
21483,1,1,8,1,2,1,1
18715,1,1,5,2,1,3,1
18263,1,7,11,1,3,1,0
1047,2,1,5,4,1,3,0
8629,1,1,5,4,2,1,1
12486,1,1,2,2,4,2,1
19816,1,2,2,5,2,2,1
21793,1,5,4,6,2,2,0
713,2,1,6,4,7,1,0
11545,2,1,6,2,3,1,0
6882,2,1,5,2,3,3,2
17408,2,1,5,5,5,1,0
16658,2,1,5,2,1,1,1
19221,2,1,12,2,5,1,0
9838,2,3,1,1,2,1,0
22715,1,1,10,3,4,2,1
19282,1,1,9,1,4,1,0
14563,1,7,7,1,2,1,1
6541,2,1,5,3,4,1,1
4491,1,1,9,3,5,2,1
6990,1,1,5,5,6,2,1
2801,2,1,2,2,5,1,1
17494,2,1,7,5,4,2,0
5185,1,2,4,1,1,1,0
20174,1,2,8,3,1,1,1
12737,1,1,3,2,0,3,1
55,1,2,3,1,2,1,0
21897,1,1,3,1,4,1,0
14444,1,1,6,1,1,1,0
15671,1,1,8,1,0,1,1
22823,1,1,5,1,3,1,0
15495,1,1,5,2,7,1,0
21505,2,1,5,1,5,1,0
5621,1,1,8,1,1,1,0
10356,1,7,8,1,1,1,1
10702,1,1,5,1,6,1,0
20772,2,1,11,2,5,1,0
8377,1,1,6,1,1,1,0
20579,1,1,4,1,0,1,0
19976,1,1,4,2,3,1,1
12382,2,1,7,6,3,2,2
20410,2,2,9,1,6,2,1
22498,2,1,3,1,3,1,0
21900,2,1,5,2,3,1,0
567,2,1,6,1,3,1,0
4754,2,1,4,5,5,1,0
14408,1,2,3,4,3,1,0
16843,1,1,4,2,3,1,0
2126,2,1,9,2,6,2,1
486,2,5,3,1,1,1,1
14270,2,5,7,1,3,1,0
9892,2,1,2,4,2,3,0
19757,2,1,6,1,0,1,0
13702,1,1,5,2,3,1,0
1197,1,1,11,6,1,3,0
8580,1,1,5,2,3,1,0
8262,1,1,9,4,1,1,0
5520,2,1,1,2,1,3,1
16542,1,1,4,1,3,1,1
20088,2,1,3,3,2,1,1
9227,2,1,5,1,0,1,0
13445,2,5,7,2,6,3,0
17097,1,1,5,1,5,3,2
18594,1,1,2,1,2,1,0
4975,2,1,9,4,2,1,1
2088,2,1,7,6,4,1,1
1924,2,1,7,4,2,3,0
5063,1,1,9,4,0,2,0
6751,1,2,2,4,1,1,1
13752,2,1,2,1,1,1,0
3132,1,1,6,1,0,1,1
2289,1,1,3,2,2,1,0
20707,1,1,6,1,0,1,0
9117,1,1,3,2,3,1,1
20199,2,1,9,1,6,1,1
9383,2,1,2,2,0,1,1
5119,1,1,9,1,3,1,0
11529,1,1,8,1,1,2,2
4477,1,1,7,5,1,3,1
4018,1,1,9,1,3,2,1
5676,2,1,5,1,0,1,1
21956,1,1,4,1,5,1,0
20924,1,1,9,1,3,1,1
11720,1,1,2,1,1,1,0
2927,2,1,4,4,5,1,0
18134,1,1,2,1,3,2,1
20118,1,1,5,1,1,1,1
5971,1,1,1,3,2,1,0
6620,2,9,7,2,7,1,1
21688,1,1,5,6,1,3,0
16472,2,1,2,1,3,1,0
17884,2,1,6,6,6,3,0
13740,2,1,5,1,0,1,0
16137,1,7,1,3,3,1,0
6249,1,8,3,3,7,2,1
15897,1,2,5,3,7,2,1
2863,1,2,7,2,3,1,0
21713,2,8,4,1,0,1,0
7290,1,1,3,1,6,2,1
20855,1,1,10,1,2,1,0
15390,2,1,3,1,3,1,0
2886,2,1,7,1,8,1,0
22911,2,1,5,4,2,2,0
22224,2,1,5,5,9,1,0
11642,2,7,5,1,1,1,1
14140,1,1,5,3,4,2,2
15407,2,1,6,5,1,1,0
22818,1,1,4,5,1,1,0
6325,2,2,2,1,3,1,0
5611,2,1,7,1,4,1,1
6381,2,1,4,1,2,1,1
10966,1,4,8,1,3,1,0
8796,1,1,3,1,1,1,0
8826,1,1,9,2,4,1,0
13746,1,4,3,1,4,1,0
3707,1,1,8,2,8,3,1
10550,2,1,4,1,2,1,1
21138,2,1,5,4,1,1,1
9528,1,1,6,1,0,1,0
3025,1,1,5,4,4,3,0
849,2,8,10,4,0,1,1
6016,2,1,8,2,5,1,0
19049,1,1,4,3,3,1,0
12390,1,1,2,1,1,1,0
20281,1,1,7,1,2,1,0
19138,2,1,3,3,6,2,0
17057,2,1,9,1,4,2,1
18655,1,1,11,1,4,1,0
19333,1,1,7,3,2,3,0
2012,1,1,5,2,2,1,1
8807,2,1,11,2,1,2,0
4540,2,1,5,3,2,1,0
6243,2,2,2,3,4,2,2
1108,1,2,3,5,2,1,0
18731,1,1,4,2,2,2,0
1207,1,1,6,1,3,1,0
12101,1,1,5,5,2,1,0
3242,1,1,5,2,3,1,0
21408,1,1,11,4,5,1,0
11638,1,8,8,1,0,2,0
7200,1,9,10,1,8,1,1
202,1,1,5,2,0,1,0
19175,2,1,5,1,4,1,0
5115,1,1,6,1,3,1,0
6981,2,1,12,4,7,2,0
7678,2,7,5,1,2,1,0
11624,1,2,3,3,7,1,0
599,1,1,7,1,2,1,0
22271,2,2,3,1,3,1,0
7212,1,2,3,3,4,1,1
20446,2,3,11,5,7,1,1
17101,1,1,6,2,0,2,0
2811,1,1,5,1,1,1,0
6707,2,4,2,5,1,1,1
8522,1,2,3,2,3,2,0
15731,1,1,5,5,2,1,0
18594,2,1,5,4,0,3,1
1957,1,1,5,5,0,1,0
14956,2,1,3,2,0,1,1
11208,2,2,8,6,7,1,1
13413,1,4,7,1,3,1,1
19644,2,5,4,3,2,1,0
1635,1,1,11,4,3,1,0
18574,1,1,4,2,3,1,0
11786,2,1,6,4,0,2,0
623,2,1,10,1,4,1,0
9836,2,1,10,5,2,1,2
20392,1,1,3,1,1,1,0
4728,2,5,5,4,1,1,1
4403,2,9,7,5,1,1,0
2846,1,1,10,1,2,1,1
1907,1,4,4,1,1,1,0
11795,1,1,10,4,0,1,0
8534,1,1,3,3,3,1,0
13791,2,5,5,4,1,1,0
2102,1,1,8,2,5,2,0
18138,1,1,9,1,2,1,1
14740,1,1,1,1,5,1,0
9303,2,1,3,3,3,3,0
9281,2,1,11,1,4,3,1
6721,1,1,5,1,4,3,0
21326,2,1,10,3,0,2,1
16462,2,3,2,2,3,3,0
7246,2,2,5,5,0,1,0
9923,1,1,7,1,1,1,0
15435,1,1,7,2,3,3,1
20449,1,1,7,1,0,1,1
17032,1,1,9,1,3,1,0
9135,1,1,4,1,3,1,0
135,1,1,7,4,2,1,1
10867,1,1,3,1,1,1,0
8394,1,1,7,1,3,1,0
